,image_name,label
0,3.jpg,5
1,5.jpg,0
2,6.jpg,4
3,11.jpg,2
4,14.jpg,5
5,22.jpg,1
6,25.jpg,4
7,28.jpg,3
8,30.jpg,3
9,38.jpg,2
10,51.jpg,2
11,52.jpg,3
12,61.jpg,0
13,63.jpg,4
14,64.jpg,1
15,69.jpg,5
16,70.jpg,2
17,72.jpg,5
18,73.jpg,0
19,76.jpg,3
20,77.jpg,0
21,79.jpg,4
22,81.jpg,2
23,84.jpg,3
24,88.jpg,1
25,93.jpg,5
26,99.jpg,1
27,101.jpg,2
28,103.jpg,0
29,110.jpg,3
30,117.jpg,3
31,119.jpg,3
32,121.jpg,5
33,126.jpg,0
34,127.jpg,2
35,129.jpg,4
36,130.jpg,4
37,132.jpg,4
38,133.jpg,5
39,135.jpg,4
40,140.jpg,0
41,141.jpg,5
42,143.jpg,2
43,144.jpg,0
44,145.jpg,0
45,149.jpg,1
46,152.jpg,1
47,156.jpg,0
48,161.jpg,4
49,169.jpg,5
50,171.jpg,4
51,172.jpg,1
52,173.jpg,2
53,176.jpg,3
54,179.jpg,3
55,182.jpg,5
56,183.jpg,1
57,185.jpg,3
58,198.jpg,3
59,199.jpg,1
60,203.jpg,0
61,211.jpg,4
62,212.jpg,5
63,215.jpg,4
64,221.jpg,2
65,222.jpg,0
66,225.jpg,3
67,227.jpg,4
68,233.jpg,4
69,237.jpg,3
70,238.jpg,2
71,242.jpg,0
72,244.jpg,0
73,251.jpg,3
74,252.jpg,3
75,255.jpg,3
76,268.jpg,5
77,271.jpg,2
78,273.jpg,1
79,274.jpg,4
80,278.jpg,0
81,284.jpg,5
82,287.jpg,4
83,291.jpg,2
84,302.jpg,0
85,303.jpg,2
86,308.jpg,3
87,310.jpg,2
88,319.jpg,3
89,320.jpg,5
90,324.jpg,5
91,327.jpg,3
92,328.jpg,3
93,334.jpg,1
94,337.jpg,4
95,344.jpg,2
96,346.jpg,3
97,347.jpg,2
98,350.jpg,0
99,351.jpg,0
100,354.jpg,3
101,360.jpg,0
102,362.jpg,2
103,365.jpg,3
104,368.jpg,2
105,374.jpg,1
106,375.jpg,5
107,379.jpg,5
108,382.jpg,3
109,385.jpg,3
110,387.jpg,0
111,388.jpg,0
112,389.jpg,1
113,393.jpg,1
114,398.jpg,4
115,399.jpg,3
116,400.jpg,2
117,403.jpg,4
118,408.jpg,2
119,410.jpg,2
120,413.jpg,4
121,420.jpg,3
122,423.jpg,4
123,424.jpg,3
124,425.jpg,3
125,428.jpg,2
126,429.jpg,4
127,434.jpg,2
128,435.jpg,1
129,436.jpg,2
130,442.jpg,1
131,452.jpg,1
132,453.jpg,3
133,458.jpg,0
134,462.jpg,1
135,465.jpg,2
136,467.jpg,5
137,471.jpg,2
138,475.jpg,1
139,482.jpg,3
140,485.jpg,4
141,487.jpg,4
142,490.jpg,2
143,492.jpg,3
144,493.jpg,1
145,494.jpg,3
146,497.jpg,5
147,498.jpg,2
148,499.jpg,2
149,507.jpg,1
150,513.jpg,0
151,515.jpg,5
152,516.jpg,3
153,520.jpg,0
154,522.jpg,3
155,527.jpg,3
156,528.jpg,4
157,529.jpg,4
158,531.jpg,2
159,536.jpg,2
160,544.jpg,4
161,546.jpg,0
162,548.jpg,5
163,549.jpg,1
164,553.jpg,3
165,555.jpg,5
166,557.jpg,1
167,560.jpg,1
168,561.jpg,2
169,563.jpg,3
170,565.jpg,1
171,568.jpg,4
172,570.jpg,4
173,572.jpg,5
174,575.jpg,1
175,577.jpg,4
176,579.jpg,2
177,584.jpg,4
178,588.jpg,1
179,590.jpg,5
180,591.jpg,1
181,592.jpg,1
182,593.jpg,2
183,598.jpg,4
184,600.jpg,3
185,601.jpg,2
186,605.jpg,0
187,607.jpg,2
188,608.jpg,0
189,609.jpg,1
190,614.jpg,5
191,615.jpg,5
192,616.jpg,0
193,619.jpg,1
194,622.jpg,3
195,626.jpg,3
196,629.jpg,3
197,630.jpg,4
198,632.jpg,3
199,633.jpg,4
200,638.jpg,2
201,645.jpg,0
202,646.jpg,3
203,653.jpg,5
204,655.jpg,5
205,656.jpg,5
206,660.jpg,3
207,661.jpg,1
208,667.jpg,1
209,668.jpg,0
210,671.jpg,0
211,672.jpg,1
212,676.jpg,3
213,677.jpg,3
214,682.jpg,2
215,689.jpg,5
216,691.jpg,0
217,692.jpg,1
218,695.jpg,3
219,700.jpg,5
220,705.jpg,5
221,709.jpg,3
222,718.jpg,4
223,720.jpg,1
224,732.jpg,5
225,734.jpg,0
226,736.jpg,0
227,738.jpg,3
228,740.jpg,0
229,745.jpg,0
230,754.jpg,1
231,760.jpg,3
232,761.jpg,3
233,766.jpg,4
234,774.jpg,4
235,777.jpg,2
236,779.jpg,2
237,785.jpg,2
238,787.jpg,1
239,788.jpg,3
240,792.jpg,2
241,794.jpg,1
242,797.jpg,0
243,798.jpg,4
244,799.jpg,1
245,802.jpg,3
246,803.jpg,2
247,806.jpg,3
248,811.jpg,0
249,812.jpg,3
250,817.jpg,3
251,818.jpg,2
252,819.jpg,2
253,825.jpg,3
254,826.jpg,4
255,828.jpg,2
256,830.jpg,3
257,831.jpg,1
258,832.jpg,3
259,833.jpg,3
260,836.jpg,4
261,837.jpg,0
262,839.jpg,3
263,841.jpg,3
264,849.jpg,0
265,854.jpg,0
266,858.jpg,4
267,862.jpg,4
268,863.jpg,3
269,870.jpg,3
270,873.jpg,2
271,875.jpg,3
272,881.jpg,2
273,885.jpg,2
274,888.jpg,5
275,890.jpg,4
276,895.jpg,3
277,896.jpg,3
278,900.jpg,5
279,902.jpg,5
280,905.jpg,3
281,911.jpg,3
